EngineSize_L,Weight_kg,Horsepower,Mileage_km_per_l
3.93,1235,99,31.61
3.93,800,60,36.06
3.04,1457,106,31.4
1.87,1558,167,38.06
4.34,1180,141,28.37
3.8,800,201,36.05
4.74,1168,116,26.1
3.3,1796,96,29.56
2.24,1636,153,33.45
4.45,1383,182,30.83
1.05,1364,154,40.0
3.03,1293,133,33.01
3.61,1650,175,33.02
4.86,1623,127,25.71
3.22,985,179,36.49
3.17,1313,100,33.38
3.63,1260,129,34.59
3.15,1739,128,30.85
2.55,1724,219,32.38
2.66,1158,166,33.94
1.23,1554,60,38.48
2.66,1598,227,33.29
1.67,1369,184,34.55
3.62,1411,214,30.56
2.96,1804,195,31.83
1.59,1246,96,40.0
2.11,1763,106,35.41
1.41,1727,88,37.14
2.57,1471,147,36.36
4.38,1153,60,30.88
4.61,1552,158,27.35
4.03,1485,146,30.04
4.28,898,103,31.7
4.97,1578,233,25.5
3.7,1199,181,31.85
1.19,1547,60,38.69
1.98,1808,176,33.56
2.56,846,123,40.0
2.15,1077,132,39.08
1.98,1033,188,38.11
3.37,1101,140,34.34
1.08,1437,124,38.88
2.1,1268,83,38.87
2.47,931,145,39.09
3.45,903,116,36.23
1.39,800,168,40.0
1.91,1578,160,39.58
4.79,1179,252,27.63
1.91,1008,100,38.72
3.84,1167,104,32.58
4.26,1385,168,30.05
3.95,1214,100,30.65
1.9,1650,94,35.49
1.46,1489,81,39.02
4.73,1298,222,27.31
1.74,1041,116,40.0
1.0,1711,139,37.23
1.13,1597,93,39.76
4.72,800,174,30.49
4.41,1648,159,28.95
1.42,1552,162,35.62
4.94,1529,112,28.23
1.88,1603,151,33.64
3.13,1472,145,34.41
3.88,1841,142,29.83
3.01,1325,188,33.74
3.15,800,131,36.37
4.45,1538,169,28.06
3.13,1685,102,30.62
2.09,1394,166,37.53
4.57,1210,96,32.29
4.56,1698,322,24.41
1.63,1469,178,37.05
1.22,800,92,40.0
4.8,1290,141,29.94
1.94,1018,137,38.71
4.16,1414,147,30.33
4.53,1116,100,31.12
3.6,1879,60,29.19
1.02,804,219,40.0
1.09,2055,137,37.56
2.55,2098,180,29.5
2.11,1183,80,39.33
1.33,1188,180,38.98
1.29,1601,139,40.0
3.45,1779,136,28.0
3.45,1125,77,35.89
3.73,1245,139,30.93
4.96,1865,183,23.76
1.02,1598,138,39.87
2.71,1348,234,32.29
3.29,1326,166,35.01
2.26,1927,231,31.61
4.43,1316,104,28.72
1.34,1144,82,39.36
4.77,1478,114,28.96
3.96,1603,102,30.55
1.92,1098,115,40.0
2.03,1455,153,37.23
1.03,1384,158,38.13
4.67,1529,111,27.54
2.59,1757,151,35.45
2.05,1485,88,36.85
4.58,1654,130,28.15
2.57,1182,112,37.1
2.89,1433,104,33.94
1.72,1093,180,38.82
4.37,1057,121,31.8
1.84,1634,158,37.46
2.98,1374,102,34.01
4.49,1570,145,29.26
3.86,1327,163,30.87
4.12,1124,193,29.87
3.1,2081,117,29.04
2.65,1120,83,35.97
4.56,1298,137,28.18
2.32,2051,63,32.44
2.52,1337,175,36.67
3.61,1310,132,31.84
2.02,1308,75,36.64
3.24,848,114,35.88
3.39,1151,182,33.45
3.05,1628,87,32.35
3.28,1198,171,32.73
4.0,800,220,32.81
3.06,980,193,33.56
2.82,1552,160,31.34
4.72,1351,138,26.78
1.94,2053,100,35.82
1.27,973,186,40.0
1.86,1401,172,36.69
4.41,1232,224,30.86
2.03,1327,156,36.1
2.0,936,147,36.2
2.38,1133,198,38.37
3.9,1739,196,27.57
1.53,1321,60,38.75
3.72,1739,203,28.48
1.52,1288,180,40.0
1.4,1539,120,38.09
2.58,1246,151,39.22
4.9,1333,189,27.37
1.51,1101,203,37.49
1.68,1431,175,39.88
3.06,1928,158,28.83
