MonthlyCharges,ContractType,CustomerServiceCalls,Churn
52.97,Month-to-month,1,0
99.02,Month-to-month,5,1
28.74,One year,6,1
38.75,One year,1,0
55.73,Month-to-month,2,0
74.1,Two year,2,0
117.8,Month-to-month,2,0
81.15,Month-to-month,3,0
96.0,Two year,3,0
60.61,Month-to-month,2,0
120.48,Two year,0,0
36.57,One year,2,0
49.9,Month-to-month,1,0
80.23,Month-to-month,4,0
47.62,One year,5,0
102.47,Month-to-month,3,0
47.19,One year,2,0
65.43,Two year,1,1
60.32,Two year,4,0
96.28,Month-to-month,2,0
82.37,One year,2,1
19.21,Two year,1,0
84.39,Month-to-month,1,0
57.23,Month-to-month,2,0
65.33,One year,4,1
73.56,Month-to-month,4,1
66.73,Two year,3,0
49.09,Two year,4,0
64.07,Month-to-month,5,1
39.17,Two year,1,0
36.39,Two year,3,0
74.75,Month-to-month,2,0
46.88,Month-to-month,3,0
117.0,One year,0,0
12.47,One year,1,0
29.88,Two year,1,1
45.66,One year,2,0
102.21,One year,3,1
46.63,Month-to-month,4,0
80.16,Month-to-month,5,1
99.16,One year,0,0
65.41,One year,2,0
75.24,Two year,3,0
122.26,One year,1,0
87.86,Month-to-month,1,1
64.55,Month-to-month,4,0
117.52,Month-to-month,5,0
94.69,One year,3,1
70.63,Two year,5,0
10.0,Month-to-month,1,0
76.68,Month-to-month,5,0
43.86,Month-to-month,5,0
71.73,Month-to-month,0,0
81.46,Month-to-month,2,0
60.67,One year,1,0
10.0,One year,2,1
25.26,Month-to-month,1,0
98.53,One year,3,0
10.0,Month-to-month,2,0
72.95,Month-to-month,1,1
51.42,One year,2,0
64.66,Two year,0,0
79.25,One year,2,0
73.74,Month-to-month,4,0
87.17,Month-to-month,7,1
105.2,One year,4,0
81.22,Month-to-month,1,0
10.0,Month-to-month,2,0
49.76,One year,4,0
124.46,One year,1,1
47.93,Month-to-month,3,0
111.79,Month-to-month,0,0
61.75,Month-to-month,1,0
40.17,Two year,5,0
84.81,Two year,3,0
117.44,Month-to-month,2,0
97.79,Month-to-month,1,1
64.4,One year,2,0
44.4,One year,3,0
81.46,Month-to-month,3,1
56.28,One year,1,0
44.63,Month-to-month,2,0
81.25,One year,3,0
78.52,Month-to-month,2,1
73.68,Month-to-month,4,0
17.28,Month-to-month,2,0
83.78,One year,1,0
73.75,One year,0,0
65.09,Two year,5,1
29.17,Month-to-month,1,1
43.82,Month-to-month,3,0
76.4,Two year,2,0
41.98,Two year,1,0
49.7,Month-to-month,2,0
70.51,Month-to-month,4,0
61.4,One year,1,0
96.43,One year,3,1
92.94,Month-to-month,4,0
79.87,Month-to-month,0,0
51.97,Two year,2,0
31.04,One year,3,0
73.49,Two year,3,0
93.08,One year,3,1
87.31,Two year,3,0
61.82,Month-to-month,1,0
102.4,One year,0,0
71.0,One year,1,0
69.25,Month-to-month,3,0
19.97,Month-to-month,2,0
97.76,One year,2,1
76.05,Month-to-month,5,1
84.63,Month-to-month,4,0
114.99,Month-to-month,1,0
42.93,Month-to-month,2,0
74.59,Month-to-month,2,0
53.97,Two year,2,0
