Area_sqft,Bedrooms,AgeYears,Price_USD
1312.2,5,36,288294
956.1,6,30,276932
2218.0,5,42,449983
1537.9,5,48,316798
768.5,5,40,176987
1022.1,2,11,200391
1330.9,2,13,281275
2003.9,6,12,451414
1314.0,2,38,237873
1671.8,5,50,327241
1078.4,3,2,279303
1690.0,6,49,338628
1985.5,2,32,337594
1755.4,6,23,399539
300.0,6,38,168196
1331.3,1,24,209672
924.0,4,18,245805
1702.1,4,28,349870
1431.6,3,23,285044
2170.3,1,28,356715
1250.4,4,41,249070
1432.8,3,37,307504
1344.6,4,39,302626
1723.4,2,26,289655
962.8,6,50,246253
949.9,4,37,241033
1146.5,3,16,257643
1663.1,6,39,366065
1867.6,1,18,291353
1358.1,1,17,217785
1666.2,2,23,298634
1628.6,3,35,335332
1374.1,1,14,263886
1363.4,6,27,341147
1743.1,5,42,368482
2262.0,3,48,340796
1844.6,3,16,355809
1941.3,2,27,341328
2317.6,6,45,427906
1085.9,4,39,282012
1715.7,3,33,325975
2055.3,1,5,361357
1822.6,2,41,291245
1130.4,3,32,235034
1041.4,3,25,225039
2134.9,4,5,460471
1587.1,1,35,275092
1537.5,2,34,273164
1408.8,3,13,256381
2079.5,2,16,339777
1838.4,1,49,230813
1316.3,1,32,210839
1810.1,6,26,406733
1480.2,6,22,351662
1792.3,5,27,385828
2010.3,1,41,357272
1956.4,5,2,398519
623.4,6,6,215254
1631.1,1,10,284783
2065.1,6,12,414493
1076.5,5,6,281058
2295.2,4,21,423899
1679.3,1,0,271965
1831.3,6,17,380641
1830.9,6,1,408834
795.0,4,4,207714
1847.9,4,33,349154
1621.9,1,21,298883
1198.4,1,49,207053
2130.6,2,29,369792
547.3,1,19,125974
1124.4,6,37,264177
2054.0,3,42,372378
1854.1,5,10,375532
1158.1,3,27,249446
1079.5,6,14,332834
1327.2,4,50,284578
1576.3,3,22,322197
1245.4,1,4,207861
1406.3,2,42,242837
1486.7,2,45,258411
1300.0,2,19,266583
1252.5,2,23,221002
927.7,5,37,233667
1445.4,5,1,374554
1436.4,2,45,246772
1035.6,3,0,196522
1584.2,4,9,314078
1987.0,5,16,398187
1485.7,6,32,323277
1650.4,3,39,307858
1901.3,5,8,428120
1441.4,2,16,296385
1858.5,3,40,361162
420.4,2,16,104926
1138.2,3,18,238351
960.9,2,21,191981
2091.3,4,31,454040
1740.9,6,41,382964
912.5,3,47,183202
1017.3,2,42,167564
839.3,2,12,207126
1603.6,4,19,307035
1543.5,1,32,257701
1266.1,2,19,239808
1061.7,2,27,197529
1442.1,4,17,347551
2615.7,1,33,423524
1283.4,6,31,334875
1970.8,1,5,314572
1321.2,5,50,305419
1891.8,6,5,454085
1726.9,6,20,394797
1440.6,4,43,278994
1742.9,6,1,390572
1994.5,6,14,434542
1485.6,2,35,257013
1373.6,5,34,292944
1754.4,1,45,282773
2188.9,5,35,430476
829.3,5,30,218855
884.7,3,9,204305
2091.6,1,45,289594
1211.4,4,20,268365
2015.1,1,8,316940
1151.8,1,5,206934
1244.1,4,49,259298
1923.0,4,5,353249
1785.2,3,9,340605
944.6,4,45,218361
1723.5,4,34,306240
1154.3,3,33,220035
1651.1,4,5,322439
1482.5,4,16,332450
1378.1,4,39,268271
1177.5,5,28,266009
703.4,4,2,226327
1171.4,3,31,231088
1767.9,2,2,365041
1660.7,2,0,324981
1080.7,3,11,247623
1953.5,2,17,354403
1621.4,1,28,291975
1736.8,6,29,320323
993.0,5,45,251875
2273.2,6,18,455294
1678.4,6,15,361117
2154.9,5,14,434260
1180.5,6,22,302792
641.5,5,23,167810
1039.8,6,11,268423
1933.9,6,37,377234
957.1,4,27,210152
2137.1,5,37,426068
1140.0,4,1,267591
1640.6,2,30,292838
1571.6,1,44,229711
1326.5,2,39,260054
1329.2,5,15,303253
1022.5,6,7,310689
2347.5,6,47,460791
1698.6,6,8,377846
734.5,1,22,180931
854.9,2,38,187557
1704.3,4,28,333964
1460.3,2,13,292072
648.0,2,42,128293
2607.6,6,10,522687
300.0,5,47,118365
1256.5,4,5,289255
1473.1,1,1,271417
1157.6,5,22,285332
1848.5,4,21,377087
1695.3,1,27,277224
1528.3,5,25,308192
1432.2,4,14,316623
1706.2,4,17,332663
1370.2,3,18,242623
784.4,4,50,177481
1899.9,2,49,299596
2252.1,3,28,382813
1502.6,2,13,253087
1511.9,2,26,275765
1448.6,6,20,332249
871.6,2,0,176111
1220.2,1,18,220618
1823.3,3,17,339794
1579.5,5,29,344913
2237.8,5,40,424476
1801.9,4,42,347675
1282.7,1,50,167057
1769.7,3,46,341498
1378.0,4,7,270417
726.2,6,20,253810
1937.9,4,7,386564
1696.0,5,21,405031
2791.3,6,40,531652
1226.5,4,29,278286
1798.3,4,36,303536
