SquareFeet,Bedrooms,LocationRating,Price_USD
1823.3,6,3,484585
1045.3,6,5,473263
1475.2,6,4,530810
1087.1,3,3,307779
1955.3,1,5,617788
574.6,6,3,231268
1901.4,2,5,573802
1218.6,3,3,321286
1274.3,3,1,278747
1457.1,3,2,372517
1400.3,4,4,389073
2132.7,2,1,400466
1758.8,4,3,470582
2100.3,2,3,510854
1682.2,2,2,354375
1364.8,2,4,387225
1373.1,5,3,408558
632.8,4,1,209953
2381.3,4,5,811264
1365.7,4,3,381661
541.2,1,1,146239
916.3,3,1,174558
644.2,5,2,230212
1068.6,3,4,363285
1707.4,5,4,562609
400.0,4,4,174977
2088.6,3,5,665317
1114.2,3,5,400393
1320.7,1,1,287569
1391.5,1,4,334429
879.3,4,3,301665
1786.8,6,4,584397
724.2,6,5,408409
2198.9,4,4,625917
898.0,6,4,388698
1409.7,2,3,371504
1085.6,3,2,263958
1975.1,2,5,607616
860.3,6,1,285571
2130.4,6,3,579740
2503.2,3,4,617904
734.4,2,3,180048
483.6,1,4,205287
1293.1,4,4,407378
1503.0,1,3,295635
1318.1,4,5,478719
1290.8,3,3,368458
1775.7,4,3,450155
1610.1,5,2,444913
633.6,1,5,208745
1069.4,2,4,335461
2098.7,6,3,588696
1515.7,5,5,577097
1416.5,1,3,350189
803.8,6,3,355512
1812.1,5,5,661704
1437.4,6,5,529531
1436.9,5,4,472331
1935.2,2,5,613671
919.7,3,2,280557
2033.3,6,5,740685
1597.9,6,2,432957
2025.5,6,2,520668
1304.8,2,5,444956
2088.4,1,5,592240
400.0,5,2,221372
758.4,1,4,212424
985.1,6,3,306685
1068.1,3,5,408568
1996.9,2,2,407571
474.1,5,4,260623
1893.8,5,4,540651
1437.9,6,4,499322
883.2,2,3,238411
2323.9,5,5,776944
770.8,2,3,228663
1896.8,3,5,611360
2105.4,5,4,605779
511.3,4,4,211475
925.4,3,2,261974
2122.7,6,3,554522
1534.6,4,5,509966
1781.9,2,3,413286
1486.0,4,1,315356
1839.3,1,4,459851
846.4,6,1,284955
1823.0,6,1,396043
1368.5,6,3,466166
1346.5,5,1,325816
771.8,2,3,214841
675.3,5,2,272787
1381.1,1,3,322316
2066.1,3,1,398264
