StudyHours,AttendancePct,PastGrades,FinalExamScore
20.5,91.7,52.0,78.5
12.6,85.7,95.0,92.7
10.7,75.6,94.2,93.1
29.4,88.5,90.1,100.0
2.6,81.6,87.3,72.2
11.7,94.9,95.4,100.0
10.1,61.0,100.0,78.2
13.0,96.0,49.5,75.0
3.0,79.2,80.6,59.9
16.8,76.8,63.3,92.4
5.8,74.7,55.4,55.2
3.8,89.4,72.7,77.5
7.0,92.2,36.1,41.1
4.1,96.7,86.6,78.4
2.0,86.4,58.1,48.5
13.5,100.0,64.4,88.6
3.0,92.9,72.5,83.9
9.6,77.3,54.8,64.4
5.3,78.8,62.6,61.3
14.4,99.7,57.3,77.4
6.4,80.6,60.4,75.4
12.7,79.9,68.4,73.2
1.2,94.0,73.0,71.9
4.8,94.3,95.8,75.0
6.5,87.1,38.9,69.3
33.1,89.7,64.0,100.0
5.8,75.9,65.6,68.1
11.7,70.1,56.2,75.5
5.0,78.3,55.3,59.0
3.5,92.4,85.9,78.5
1.6,81.2,50.1,58.8
3.1,98.1,71.3,80.9
14.2,84.8,72.1,83.8
4.1,71.4,62.3,65.6
6.5,75.1,20.7,39.3
7.6,72.8,79.6,65.7
11.4,87.9,45.5,74.4
4.4,90.5,53.1,64.9
10.6,91.2,69.5,80.8
9.4,76.1,83.7,78.2
3.2,93.2,55.6,64.8
4.9,96.5,64.9,70.5
6.8,82.2,53.8,76.7
9.7,88.4,69.1,73.7
7.4,77.8,69.5,72.7
1.1,86.5,43.5,61.7
18.7,89.6,78.7,96.5
18.7,89.8,76.0,99.3
16.2,69.8,71.8,90.1
12.8,80.5,76.9,88.0
22.1,89.0,67.1,83.5
8.3,87.2,68.5,66.0
13.7,90.5,35.1,81.3
5.4,86.1,62.3,71.3
15.0,74.2,43.3,85.7
8.8,99.3,78.8,86.0
5.0,91.8,39.4,65.8
12.2,74.7,51.4,74.8
3.2,87.5,69.1,72.9
16.0,88.5,67.4,96.7
10.1,78.6,69.1,77.4
4.2,78.4,60.8,59.7
5.9,86.8,52.0,62.1
8.0,57.0,52.8,61.1
12.8,90.8,65.9,77.6
14.2,83.2,53.3,78.2
6.3,87.6,70.8,67.7
6.7,100.0,60.5,68.5
20.3,87.0,95.3,100.0
4.0,79.3,75.9,78.3
11.0,70.1,78.3,62.0
4.6,89.6,70.0,76.7
2.5,74.3,62.8,56.8
3.7,76.8,76.1,71.0
10.2,94.4,64.7,71.6
10.2,86.8,47.3,58.7
11.6,75.2,45.1,70.8
6.4,83.8,42.7,63.5
13.7,86.7,93.7,99.5
9.0,84.0,68.0,67.4
4.8,79.4,69.9,69.3
12.5,86.0,58.2,66.5
6.6,90.6,72.6,70.7
2.9,86.3,57.5,51.9
11.5,89.6,73.2,77.6
9.3,91.0,24.8,72.7
8.1,75.2,75.5,68.0
10.3,86.6,68.9,79.2
15.6,75.7,49.1,64.1
9.3,93.9,69.7,71.0
4.3,95.2,65.1,68.0
7.8,84.8,65.9,66.4
12.3,83.8,79.1,72.7
10.6,91.0,85.5,95.7
5.5,87.8,91.9,77.3
5.4,91.7,70.4,57.4
9.6,69.2,71.5,63.5
8.6,89.6,62.5,77.5
3.2,77.3,64.5,74.3
6.5,87.3,49.7,76.3
32.5,91.7,69.7,100.0
5.6,89.5,76.0,80.2
9.2,67.4,46.2,65.4
8.6,79.7,78.8,74.2
10.2,90.2,41.7,69.4
6.0,80.7,60.0,53.2
15.1,79.3,81.9,80.6
14.9,98.5,46.5,83.4
6.6,77.4,90.8,87.3
7.3,95.6,68.2,80.7
7.7,70.5,92.3,84.4
13.0,84.5,68.4,77.9
15.5,79.7,67.7,89.0
5.2,96.9,63.9,65.5
5.1,86.5,73.0,81.3
5.1,90.3,58.7,67.1
11.3,71.6,64.1,66.0
11.5,98.5,77.7,99.4
12.3,85.9,49.1,75.3
13.7,94.9,75.7,79.4
12.5,73.1,68.8,81.5
5.3,98.9,79.1,86.4
4.6,83.2,76.9,77.7
10.5,84.7,73.7,77.8
3.7,100.0,56.8,63.1
4.7,92.0,73.9,71.1
8.3,81.9,64.5,88.7
20.6,71.9,61.9,84.6
7.3,93.0,89.1,77.7
14.1,71.1,70.7,81.7
5.1,84.7,71.0,67.8
5.3,63.1,96.5,67.3
4.9,71.7,60.8,57.4
9.9,96.5,78.6,80.6
15.4,100.0,84.5,78.8
3.6,100.0,28.0,71.8
19.2,89.8,100.0,100.0
23.3,82.4,44.1,91.9
7.5,76.2,57.1,59.9
2.9,78.3,69.7,67.4
24.6,84.4,62.8,100.0
4.0,68.7,59.2,56.7
14.5,89.9,26.2,87.0
6.3,93.7,53.7,83.6
13.7,66.4,58.5,68.1
1.8,91.0,59.8,61.7
10.8,79.8,69.8,85.5
7.9,86.8,80.6,82.1
1.9,97.7,75.5,72.9
25.7,98.0,90.4,100.0
8.0,92.0,65.1,76.5
4.8,88.7,38.2,55.7
11.8,66.7,55.6,70.0
5.8,86.1,64.8,75.4
6.6,78.3,66.6,65.7
9.4,78.7,74.7,71.9
16.1,90.8,41.3,86.6
6.0,87.7,46.6,47.3
15.7,75.4,82.5,89.7
10.4,89.5,65.8,77.0
9.4,74.7,56.2,75.7
6.6,100.0,56.1,74.0
10.0,92.7,57.0,83.5
7.0,82.7,65.8,61.6
9.1,71.5,87.8,78.7
12.5,73.6,77.6,77.8
7.7,83.7,49.0,81.8
14.1,80.4,50.8,60.2
5.4,90.4,67.6,70.1
4.4,58.4,73.5,60.0
16.0,77.3,81.7,91.3
11.1,100.0,85.7,100.0
4.2,100.0,44.4,67.1
21.4,91.4,65.2,95.1
16.9,95.8,53.0,71.3
20.2,88.4,65.0,100.0
10.8,55.5,49.1,63.1
5.8,94.4,44.1,61.4
9.8,100.0,38.6,61.7
8.2,84.8,75.0,86.2
10.1,75.8,62.5,79.9
8.3,88.7,73.8,82.5
8.7,87.2,69.0,74.6
11.4,97.7,69.0,88.0
12.8,89.5,49.5,77.3
5.9,85.3,69.6,77.3
11.2,100.0,44.1,65.3
8.4,95.0,65.8,84.6
12.9,80.9,84.6,96.1
4.6,72.5,58.7,66.6
7.5,87.6,87.6,79.6
12.1,96.4,71.0,86.7
7.6,83.9,73.7,89.8
8.4,91.7,40.1,84.2
5.7,75.2,82.1,63.9
5.5,85.3,54.7,63.7
5.3,88.7,69.8,76.8
2.3,81.1,63.4,61.5
