Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony
Property_1,2 BHK,3907000.0,Electronic City Phase II,1056.0,3699.810606060606,Super built-up  Area,2.0,Yes
Property_2,4 Bedroom,12000000.0,Chikka Tirupathi,2600.0,4615.384615384615,Plot  Area,5.0,Yes
Property_3,3 BHK,6200000.0,Uttarahalli,1440.0,4305.555555555556,Built-up  Area,2.0,Yes
Property_4,3 BHK,9500000.0,Lingadheeranahalli,1521.0,6245.890861275477,Super built-up  Area,3.0,Yes
Property_5,2 BHK,5100000.0,Kothanur,1200.0,4250.0,Super built-up  Area,2.0,Yes
Property_6,2 BHK,3800000.0,Whitefield,1170.0,3247.863247863248,Super built-up  Area,2.0,Yes
Property_7,4 BHK,20400000.0,Old Airport Road,2732.0,7467.0571010248905,Super built-up  Area,4.0,No
Property_8,4 BHK,60000000.0,Rajaji Nagar,3300.0,18181.81818181818,Super built-up  Area,4.0,No
Property_9,3 BHK,6325000.0,Marathahalli,1310.0,4828.244274809161,Super built-up  Area,3.0,Yes
Property_10,6 Bedroom,37000000.0,Gandhi Bazar,1020.0,36274.509803921566,Plot  Area,6.0,No
Property_11,3 BHK,7000000.0,Whitefield,1800.0,3888.8888888888887,Super built-up  Area,2.0,Yes
Property_12,4 Bedroom,29500000.0,Whitefield,2785.0,10592.45960502693,Plot  Area,5.0,Yes
Property_13,2 BHK,3800000.0,7th Phase JP Nagar,1000.0,3800.0,Super built-up  Area,2.0,Yes
Property_14,2 BHK,4000000.0,Gottigere,1100.0,3636.3636363636365,Built-up  Area,2.0,Yes
Property_15,3 Bedroom,14800000.0,Sarjapur,2250.0,6577.777777777777,Plot  Area,3.0,Yes
Property_16,2 BHK,7350000.0,Mysore Road,1175.0,6255.31914893617,Super built-up  Area,2.0,Yes
Property_17,3 BHK,4800000.0,Bisuvanahalli,1180.0,4067.7966101694915,Super built-up  Area,3.0,Yes
Property_18,3 BHK,6000000.0,Raja Rajeshwari Nagar,1540.0,3896.103896103896,Super built-up  Area,3.0,Yes
Property_19,3 BHK,29000000.0,Ramakrishnappa Layout,2770.0,10469.314079422382,Super built-up  Area,4.0,Yes
Property_20,2 BHK,4800000.0,Manayata Tech Park,1100.0,4363.636363636364,Super built-up  Area,2.0,Yes
Property_21,1 BHK,1500000.0,Kengeri,600.0,2500.0,Built-up  Area,1.0,Yes
Property_22,3 BHK,12200000.0,Binny Pete,1755.0,6951.5669515669515,Super built-up  Area,3.0,Yes
Property_23,4 Bedroom,38000000.0,Thanisandra,2800.0,13571.42857142857,Plot  Area,5.0,Yes
